Category,Avg Prompt 1 Time (sec),Avg Prompt 2 Time (sec),Std Dev Prompt 1 Time (sec),Std Dev Prompt 2 Time (sec),Correlation (Prompt 1),Correlation (Prompt 2),T-statistic,P-value,Effect Size,Throughput (Prompt 1),Throughput (Prompt 2)
Education,10.147499999999999,13.421000000000001,1.3997814679065934,1.4203702260141082,0.8748478842471151,0.5064666978287129,-7.341051964117632,8.539005649650437e-09,-2.321444462826439,0.09854644000985466,0.07451009611802399
Kids Short Story,9.040499999999998,13.096499999999997,1.9113083835012352,2.429847894308136,0.8185557644213162,0.6805939680749673,-5.867407231075711,8.654590563188907e-07,-1.8554370809941125,0.11061335103146952,0.07635627839499104
Science Experiments,10.805499999999999,13.151499999999999,1.6049413007793678,1.8369662490094911,0.7227503259888927,0.6773025209631157,-4.301047577457932,0.00011446515597033208,-1.3601106669516545,0.09254546295867846,0.07603695395962438
Vlog,11.7055,14.8875,1.3857981739587366,1.3383449126675673,0.5337195531756695,0.4723270506865044,-7.386426396513318,7.423372861917889e-09,-2.335793118217209,0.08542992610311391,0.06717044500419815
